"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2019/05/06","00:00","2.163","-","2.9"
"2019/05/06","01:00","4.335","-","4.97"
"2019/05/06","02:00","6.669","-","7.22"
"2019/05/06","03:00","8.84","-","9.7"
"2019/05/06","04:00","10.286","-","11.04"
"2019/05/06","05:00","10.501","-","11.13"
"2019/05/06","06:00","9.47","-","10.1"
"2019/05/06","07:00","7.505","-","8.05"
"2019/05/06","08:00","5.044","-","5.6"
"2019/05/06","09:00","2.551","-","2.98"
"2019/05/06","10:00","0.526","-","0.91"
"2019/05/06","11:00","-0.324","-","0.09"
"2019/05/06","12:00","0.421","-","1.07"
"2019/05/06","13:00","2.298","-","2.78"
"2019/05/06","14:00","4.566","-","5.01"
"2019/05/06","15:00","6.859","-","7.52"
"2019/05/06","16:00","8.758","-","9.49"
"2019/05/06","17:00","9.658","-","10.43"
"2019/05/06","18:00","9.31","-","9.87"
"2019/05/06","19:00","7.898","-","8.53"
"2019/05/06","20:00","5.829","-","6.42"
"2019/05/06","21:00","3.591","-","4.11"
"2019/05/06","22:00","1.648","-","2.11"
"2019/05/06","23:00","0.607","-","0.97"
"2019/05/07","00:00","1.082","-","1.76"
"2019/05/07","01:00","2.921","-","3.65"
"2019/05/07","02:00","5.288","-","5.78"
"2019/05/07","03:00","7.608","-","8.05"
"2019/05/07","04:00","9.566","-","10.1"
"2019/05/07","05:00","10.632","-","11.24"
"2019/05/07","06:00","10.408","-","10.82"
"2019/05/07","07:00","8.978","-","9.23"
"2019/05/07","08:00","6.733","-","6.94"
"2019/05/07","09:00","4.178","-","4.4"
"2019/05/07","10:00","1.78","-","1.86"
"2019/05/07","11:00","0.038","-","-0.09"
"2019/05/07","12:00","-0.368","-","-0.31"
"2019/05/07","13:00","0.813","-","0.97"
"2019/05/07","14:00","2.93","-","2.85"
"2019/05/07","15:00","5.236","-","5.34"
"2019/05/07","16:00","7.419","-","7.83"
"2019/05/07","17:00","9.066","-","9.49"
"2019/05/07","18:00","9.622","-","10.07"
"2019/05/07","19:00","8.936","-","9.19"
"2019/05/07","20:00","7.281","-","7.59"
"2019/05/07","21:00","5.133","-","5.46"
"2019/05/07","22:00","2.984","-","3.02"
"2019/05/07","23:00","1.281","-","1.22"
"2019/05/08","00:00","0.64","-","0.67"
"2019/05/08","01:00","1.568","-","1.95"
"2019/05/08","02:00","3.689","-","3.96"
"2019/05/08","03:00","6.099","-","6.28"
"2019/05/08","04:00","8.31","-","8.64"
"2019/05/08","05:00","10.036","-","10.57"
"2019/05/08","06:00","10.752","-","11.14"
"2019/05/08","07:00","10.147","-","10.37"
"2019/05/08","08:00","8.417","-","8.75"
"2019/05/08","09:00","6.028","-","6.35"
"2019/05/08","10:00","3.493","-","3.69"
"2019/05/08","11:00","1.245","-","1.12"
"2019/05/08","12:00","-0.203","-","-0.34"
"2019/05/08","13:00","-0.204","-","-0.13"
"2019/05/08","14:00","1.29","-","1.39"
"2019/05/08","15:00","3.494","-","3.32"
"2019/05/08","16:00","5.745","-","5.73"
"2019/05/08","17:00","7.799","-","8.06"
"2019/05/08","18:00","9.211","-","9.42"
"2019/05/08","19:00","9.464","-","9.72"
"2019/05/08","20:00","8.521","-","8.67"
"2019/05/08","21:00","6.74","-","6.96"
"2019/05/08","22:00","4.609","-","4.83"
"2019/05/08","23:00","2.587","-","2.63"
"2019/05/09","00:00","1.118","-","1.12"
"2019/05/09","01:00","0.83","-","0.96"
"2019/05/09","02:00","2.082","-","2.47"
"2019/05/09","03:00","4.314","-","4.39"
"2019/05/09","04:00","6.659","-","6.61"
"2019/05/09","05:00","8.744","-","8.99"
"2019/05/09","06:00","10.263","-","10.58"
"2019/05/09","07:00","10.682","-","10.79"
"2019/05/09","08:00","9.8","-","9.82"
"2019/05/09","09:00","7.911","-","7.94"
"2019/05/09","10:00","5.498","-","5.61"
"2019/05/09","11:00","3.041","-","3.02"
"2019/05/09","12:00","0.954","-","0.72"
"2019/05/09","13:00","-0.225","-","-0.45"
"2019/05/09","14:00","0.076","-","0.16"
"2019/05/09","15:00","1.725","-","1.7"
"2019/05/09","16:00","3.904","-","3.7"
"2019/05/09","17:00","6.08","-","5.96"
"2019/05/09","18:00","8.023","-","8.22"
"2019/05/09","19:00","9.232","-","9.45"
"2019/05/09","20:00","9.261","-","9.33"
"2019/05/09","21:00","8.18","-","8.06"
"2019/05/09","22:00","6.371","-","6.39"
"2019/05/09","23:00","4.299","-","4.3"
"2019/05/10","00:00","2.396","-","2.27"
"2019/05/10","01:00","1.12","-","0.94"
"2019/05/10","02:00","1.076","-","1.09"
"2019/05/10","03:00","2.484","-","2.76"
"2019/05/10","04:00","4.691","-","4.77"
"2019/05/10","05:00","6.936","-","6.98"
"2019/05/10","06:00","8.917","-","9.26"
"2019/05/10","07:00","10.272","-","10.73"
"2019/05/10","08:00","10.488","-","10.73"
"2019/05/10","09:00","9.472","-","9.79"
"2019/05/10","10:00","7.552","-","7.7"
"2019/05/10","11:00","5.184","-","5.37"
"2019/05/10","12:00","2.827","-","2.91"
"2019/05/10","13:00","0.882","-","0.84"
"2019/05/10","14:00","-0.108","-","0.07"
"2019/05/10","15:00","0.356","-","0.78"
"2019/05/10","16:00","2.032","-","2.26"
"2019/05/10","17:00","4.146","-","4.31"
"2019/05/10","18:00","6.264","-","6.44"
"2019/05/10","19:00","8.127","-","8.63"
"2019/05/10","20:00","9.201","-","9.7"
"2019/05/10","21:00","9.12","-","9.42"
"2019/05/10","22:00","8.002","-","8.39"
"2019/05/10","23:00","6.213","-","6.54"
"2019/05/11","00:00","4.202","-","4.59"
"2019/05/11","01:00","2.381","-","2.5"
"2019/05/11","02:00","1.202","-","1.14"
"2019/05/11","03:00","1.256","-","1.72"
"2019/05/11","04:00","2.676","-","3.05"
"2019/05/11","05:00","4.794","-","4.96"
"2019/05/11","06:00","6.943","-","7.16"
"2019/05/11","07:00","8.857","-","9.3"
"2019/05/11","08:00","10.126","-","10.63"
"2019/05/11","09:00","10.27","-","10.61"
"2019/05/11","10:00","9.246","-","9.48"
"2019/05/11","11:00","7.371","-","7.57"
"2019/05/11","12:00","5.085","-","5.27"
"2019/05/11","13:00","2.82","-","2.81"
"2019/05/11","14:00","0.951","-","0.92"
"2019/05/11","15:00","0.036","-","0.07"
"2019/05/11","16:00","0.551","-","0.81"
"2019/05/11","17:00","2.197","-","2.39"
"2019/05/11","18:00","4.246","-","4.45"
"2019/05/11","19:00","6.336","-","6.72"
"2019/05/11","20:00","8.179","-","8.66"
